,word,meaning_jp,meaning_cn,example_jp,example_cn
0,すぐ,1. 直ぐ、すぐに、即座に,1. 立即、马上、立刻,A: 今からすぐ行ける？B: はい、すぐ行きましょう。,A: 现在能马上去吗？B: 可以，我们马上去吧。
1,すぐ,2. すぐ近く、至近距離,2. 紧挨着，就在附近,A: コンビニはどこにあるの？B: すぐそこにありますよ。,A: 便利店在哪里？B: 就在那边啊。
2,すぐに,1. 直ちに、すぐさま,1. 立刻，马上,A: すぐに出発しないと遅刻しちゃうよ。B: そうだね、急ごう。,A: 快点出发，不然就要迟到了。B: 是啊，赶快。
3,すぐに,2. （将来的に）すぐ、すぐ近く,2. （未来）就在不久的将来,A: この近くに新しいスーパーができるって知ってた？B: え、すぐに？A: そうそう、来月オープンするんだって。,A: 你知道附近会有新超市吗？B: 嗯，马上就会有？A: 对啊，下个月开业。
4,すし,1. 寿司,1. 寿司,A: 今日のランチは何がいい？B: 寿司にしようよ。,A: 今天午餐吃什么好？B: 吃寿司吧。
5,する,1. 行う、実行する,1. 进行、实施,A: 明日、デートしようよ。B: いいね、何しようか？,A: 明天去约会吧。B: 好啊，我们做什么？
6,する,2. 起こる、発生する,2. 发生,A: 今日の授業はどうだった？B: いい授業だったけど、ちょっと問題が起きた。A: 何が起きたの？B: 先生が遅刻したんだよ。,A: 今天的课怎么样？B: 这是好的课程，但出了点问题。A: 什么问题？B: 老师迟到了。
7,する,3. なる、変わる,3. 变得、改变,A: このジャケット、似合うね。B: ありがとう。新しい髪型に合わせて買ったんだ。,A: 这件夹克很适合你。B: 谢谢。我为了配合新发型买的。
8,する,4. することができる、可能である,4. 能够做到，可能,A: 明日、遊園地に行こうと思うんだけど、行ける？B: すみません、明日は忙しくて行けないです。A: そうですか、また今度行きましょう。B: はい、その時は是非行きたいです。,A: 明天我想去游乐园，你能去吗？B: 抱歉，明天我很忙，不能去。A: 是吗，下次一起去吧。B: 是的，我一定要去。
9,ずっと,1. 常に、ずっと前から、ずっと後まで,1. 始终，一直，从一开始到结束,A: ずっと昔からこの町に住んでいるの？B: うん、生まれた時からずっとここに住んでるよ。,A: 你从很久以前就住在这个城镇里了吗？B: 是的，从我出生开始就一直住在这里。
10,ずっと,2. 一層上の程度、比較の基準となるものを示す,2. 表示一层更高的程度，作为比较的基准,A: あの人、最近英語が上手になったよね。B: そうだね、ずっと前よりはるかに上達したよ。,A: 那个人，最近英语变得很好了吧。B: 是啊，比以前进步了很多。
11,せき,1. 咳をする,1. 咳嗽,A: 最近、咳が出るんだよね。B: 早く医者に診てもらった方がいいよ。,A: 最近咳嗽。B: 最好赶紧去看医生。
12,せき,2. 咳払いをする,2. 抿嘴咳嗽,A: あの人、咳払いばっかりしてるよね。B: そうなんだよね、気になるよね。,A: 那个人老是抿嘴咳嗽。B: 是啊，很让人在意。
13,せっけん,1. 洗浄剤の一種で、固形石鹸または液体石鹸のこと。,1. 一种洗涤剂，指固体或液体肥皂。,A: あの新しいせっけんを使ってみたよ。B: どうだった？A: 泡立ちがよくて、いい感じだったよ。,A: 我用那种新肥皂了一下。B: 怎么样？A: 起泡很好，感觉不错。
14,そこ,1.その場所,1.那个地方,A: あの本はどこにあるの？B: そこにあるよ。,A: 那本书在哪里？B: 在那里。
15,そこ,2.話の途中で前置詞的に使われ、先の話題の場所を指す,2.在谈话中作为前置词使用，指代前面谈到的地方,A: お姉さんはどこに住んでるの？B: そこに住んでるよ。,A: 姐姐住在哪里？B: 住在那里。
16,そして,1. 前に言ったことに続けて、次に言うことを表す接続詞,1. 表示接续、连接两个事物的连词,A: 今日は暑いね。B: そして、湿度も高いから、ますます辛いわ。,A: 今天好热啊。B: 而且湿度也很高，更加难受。
17,そちら,1. その方、あなたの方,1. 那边、你那边,A: 今日の天気はどうですか？B: こちらは晴れていますが、そちらはどうですか？,A: 今天的天气怎么样？B: 这边是晴天，你那边呢？
18,そちら,2. あなた方、そちら側,2. 你方、你们那边,A: 明日の会議は何時からですか？B: そちらの都合に合わせます。,A: 明天的会议从几点开始？B: 我们会根据你们那边的时间安排。
19,その,1. 特定のものを指し示す語。,1. 指特定的事物的词语。,A: この本、誰のですか？B: あの人のですよ。A: あの人って誰ですか？B: あの机の横に座っている人です。A: ああ、その人ね。,A: 这本书是谁的？B: 那个人的啊。A: 那个人是谁啊？B: 坐在那张桌子旁边的人啊。A: 啊，那个人。
20,その,1. 特定の事物や事柄を指し示す,1. 指示特定的事物或事情,A: あのレストラン、どうだった？B: あのレストランは、そんなに美味しくなかった。,A: 那个餐厅怎么样？B: 那个餐厅没有那么好吃。
21,その,2. すでに話題に出たものを指し示す語。,2. 指已经谈论过的事物的词语。,A: 明日の会議はどこで行われますか？B: あの部屋で行われますよ。A: あの部屋ってどこですか？B: さっき案内した、あの部屋ですよ。A: ああ、その部屋ね。,A: 明天的会议在哪里举行？B: 在那个房间里举行啊。A: 那个房间在哪里？B: 刚才导引过的那个房间啊。A: 啊，那个房间。
22,その,2. 前述の事物や事柄を指し示す,2. 指示前面提到的事物或事情,A: テレビ、どこに置いた？B: そのテーブルの上に置いたよ。,A: 电视放哪里了？B: 放在那张桌子上了。
23,そば,1. そば粉で作った、細長い麺。 ,1. 用荞麦面制成的细长面条。 ,A: 今日の昼ごはんはそばにしようかな。B: いいね、私もそばが好き。,A: 今天的午餐吃荞麦面怎么样？B: 好啊，我也喜欢荞麦面。
24,そば,1. そば粉で作った、細長い麺。 ,1. 用荞麦面制成的细长面条。 ,A: 駅からそば屋までの道を教えてもらえますか？B: ええ、ここからまっすぐ行って、右に曲がってください。,A: 可以告诉我从车站到荞麦面馆的路线吗？B: 嗯，在这里一直往前走，然后右拐。
25,それ,1. 物事を指し示す言葉,1. 用于指代物事的词语,A: これは何ですか？B: それはペンです。,A: 这是什么？B: 那是一支笔。
26,それ,2. 前述のものを指し示す言葉,2. 用于指代前述物事的词语,A: パンを買いましたか？B: はい、買いました。それはとてもおいしかったですよ。,A: 你买面包了吗？B: 是的，买了。那个很好吃。
27,それから,1. その後、その次に起こることを言う,1. 之后，接着发生的事情,A: 明日の会議はどうする？B: まず、報告書を完成させるよ。それから会議に備えよう。,A: 明天的会议怎么办？B: 首先，先完成报告书。之后再准备开会。
28,それから,2. その上、そのうえ,2. 而且、此外,A: 映画館に行くつもりだ。B: それから、どこかで晩ご飯を食べようよ。,A: 我们打算去电影院。B: 而且，我们去哪里吃晚饭呢？
29,それは,1. それが,1.那个（指代之前提到的东西或事情）,A: これは何ですか？B: それは私の手帳です。,A: 这是什么？B: 那是我的记事本。
30,それは,2. そうですね,2. 是这样（用于表示同意或赞同）,A: 明日の会議は2時からですね。B: それはそうですね。,A: 明天的会议从2点开始对吧。B: 是这样的。
31,ただいま,1. 目の前にいる人や場所に戻って来た時のあいさつ,1.回到眼前的人或地方时的问候语,A: ただいまー！B: おかえり！どうだった？,A: 回来了！B: 欢迎回来！怎么样？
32,ただいま,2. 現在、この時点で,2.目前、现在、此时此刻,A: この商品、値段はいくらですか？B: ただいま、調べますね。,A: 这个商品多少钱？B: 目前正在查询。
33,たち,1. 複数形を表す接尾辞,1. 表示复数的后缀,A: この本、何冊ありますか？B: 5冊あります。,A: 这本书有几本？B: 有5本。
34,たち,2. ~たちに、~たちををつけて、一緒にいる人々を表す,2. 在名词后面加“~たち”或“~たちを”，表示一起在场的人们,A: 彼らは誰ですか？B: 私たちの友達です。,A: 他们是谁？B: 是我们的朋友们。
