,word,meaning_jp,meaning_cn,example_jp,example_cn
0,まじめ,1. 仕事や勉強に真剣に取り組むさま。真面目。,1. 认真对待工作或学习。认真。,A: あの人、とてもまじめそうだね。B: 本当にそうだよ。,A: 那个人看起来很认真呢。B: 是的，确实如此。
1,まじめ,2. 面白みやユーモアがないさま。,2. 没有趣味或幽默感的样子。,A: あの人、おもしろくないよね。B: うん、まじめすぎるかも。,A: 那个人没有意思呢。B: 是啊，可能太认真了。
2,まだ,1. まだ～である、まだ～であること,1. 仍然是～，还是～,A: ご飯は食べたの？B: いいえ、まだ。A: そうか、じゃあ、私たち一緒に行こうよ。,A: 你吃饭了吗？B: 没有，还没吃。A: 这样啊，那我们一起去吧。
3,まだ,2. これからもまだ、まだずっと,2. 今后也还是、一直是,A: 今日はまだ仕事があるから、帰れないんだ。B: そうなんだ。じゃあ、また後で電話するね。,A: 今天还有工作，回不去。B: 是啊，那就等会再打电话吧。
4,みかん,1. 温州蜜柑（日本の代表的な柑橘類の一つ）,1. 温州蜜柑（日本代表性柑橘之一）,A: この季節、美味しい果物って何がある？B: みかんはどうですか？,A: 这个季节有什么好吃的水果？B: 温州蜜柑怎么样？
5,みかん,2. 肌肉が緊張する状態、張り詰めた状態,2. 肌肉处于紧张状态、紧绷状态,A: 昨日、スポーツジムでトレーニングしたら、筋肉がみかんのようになってしまった。B: それはすごい練習だったんだね。,A: 昨天在健身房训练时，肌肉像温州蜜柑一样绷紧了。B: 那一定是很辛苦的训练呢。
6,みそ汁,1. 味噌を溶かした汁のこと。,1. 溶化味噌后的汤。,A: 今日の朝食は何が食べたい？B: みそ汁とご飯がいいな。,A: 今天早餐想吃什么？B: 想要喝味噌汤和吃米饭。
7,めがね,1. 眼鏡,1. 眼镜,A: めがねをかけると、目が楽になる。B: そうだね、私もめがねをかけると目が疲れにくくなるよ。,A: 戴眼镜眼睛就轻松了。B: 是的，我戴眼镜也不容易累。
8,めがね,2. 車窓から見る山や川の景色が、フレームを通してよく見えるようになるアイテム,2. 在车窗上观赏山和河流的景色的道具，让人能够透过框架更好地看到景色,A: 明日の遠足、めがねを持って行く？B: うーん、山の景色を見るためにめがねをかけることができるよね。,A: 明天的远足，要带眼镜吗？B: 嗯，可以戴眼镜看山的景色。
9,もう,1. すでに、もう済んだ,1. 已经，已经完成,A: ご飯、もう食べた？B: うん、もう食べたよ。,A: 饭吃了吗？B: 嗯，已经吃了。
10,もう,2. 今からもうすぐ、もうすぐ帰る,2. 马上，马上就会,A: もうすぐ春休みだね。B: そうだね、旅行に行こうかな。,A: 春假马上就到了。B: 是啊，想去旅游。
11,もう,3. それ以上の、もう少しで目的地だ,3. 更多，离目的地更近了,A: あとどれくらいかかるの？B: もう少しで到着だよ。,A: 还要多久才能到？B: 再走一点点就到了。
12,もう,4. もう〜ない、もう一度、もう少し,4. 已经没有了，再一次，再更少,A: このゲームはもう飽きた。B: じゃあ、もう一度違うゲームをやろうよ。,A: 我已经厌倦了这个游戏。B: 那么，再来一次玩不同的游戏吧。
13,もし,1. 前置き詞。もし～なら、もし～だったら,1. 前置词。如果...的话，假如...的话,A: もし明日天気が良かったら、ピクニックに行きたい。B: いいね、私も行きたいな。,A: 如果明天天气好的话，我们想去野餐。B: 好啊，我也想去。
14,もし,2. 副詞。万一、もしや、もしかしたら,2. 副词。万一、或许、或许,A: もし雨が降ったら、どうしよう？B: 傘を持っていけば大丈夫だよ。,A: 如果下雨了怎么办？B: 如果带伞的话就没问题了。
15,もしもし,1. 電話で相手に呼びかける際のあいさつの言葉,1. 打电话时的问候语,A: もしもし、山田さんいらっしゃいますか？B: はい、山田ですが、どちら様でしょうか？,A: 喂，山田在吗？B: 是的，我是山田，请问您是哪位？
16,もしもし,2. あいさつの言葉としての利用,2. 作为问候语的使用,A: もしもし、お元気ですか？B: はい、元気です。あなたはどうですか？,A: 喂，你好吗？B: 是的，我很好。你呢？
17,もっと,1. もっと多くの、もっと大きな,1. 更多的、更大的,A: このケーキ、もっと大きいサイズはありますか？B: はい、ありますよ。,A: 这个蛋糕还有更大号的吗？B: 有的，您要吗？
18,もっと,2. もっと長い時間、もっと頻繁に,2. 更长时间的、更频繁的,A: このジム、もっと長く営業していますか？B: はい、平日は夜遅くまで営業していますよ。,A: 这家健身房的营业时间更长吗？B: 是的，平日晚上开到很晚。
